,movieNm,audiAcc,movieCd
0,위대한 쇼맨,1514467,20179462
1,언더워터,58253,20209161
2,프리즌 이스케이프,171325,20207893
3,카페 벨에포크,42007,20208122
4,그집,19455,20207501
5,미스비헤이비어,14787,20208264
6,더 플랫폼,61779,20208282
7,초미의 관심사,10351,20196782
8,아홉 스님,9020,20209029
9,패왕별희 디 오리지널,90898,20173226
10,콜 오브 와일드,32242,20208686
11,킬러의 보디가드 무삭제 특별판,10424,20189987
12,레이니 데이 인 뉴욕,84144,20207341
13,톰보이,23992,20113252
14,트롤: 월드 투어,144410,20205402
15,저 산 너머,93832,20207722
16,나의 청춘은 너의 것,80871,20197397
17,씨 피버,7124,20208562
18,호텔 레이크,61129,20181685
19,마이 스파이,51332,20206441
20,1917,858817,20192399
21,라라랜드,3728014,20167904
22,어벤져스: 엔드게임,13967427,20184889
23,기생충,10307053,20183782
24,서치 아웃,31624,20206190
25,어벤져스,7084961,20124721
26,건즈 아킴보,26820,20206021
27,유령선,15591,20196716
28,비밀정보원: 인 더 프리즌 ,17835,20204741
29,어벤져스: 에이지 오브 울트론,10501765,20148493
30,애프터 웨딩 인 뉴욕 ,6794,20206865
31,시네마 천국,42622,19888010
32,오픈 더 도어 ,24024,20206402
33,엽문4: 더 파이널,65832,20205262
34,주디,88718,20204107
35,라라걸,6430,20206447
36,인비저블맨,566214,20199842
37,n번째 이별 중,18935,20206446
38,신과 나: 100일간의 거래,5780,20205902
39,더 터닝 ,15305,20205841
40,스케어리 스토리:어둠의 속삭임 ,42506,20205708
41,다크 워터스 ,125718,20204791
42,날씨의 아이,672723,20190280
43,정직한 후보,1529330,20193321
44,사랑하고 있습니까,8749,20206424
45,지푸라기라도 잡고 싶은 짐승들,618938,20180962
46,작은 아씨들,847954,20192240
47,스타 이즈 본,519163,20180523
48,세인트 아가타 ,9666,20205096
49,어바웃 타임,3435478,20135428
50,메멘토,28685,20010238
51,해리포터와 아즈카반의 죄수,1832133,20040598
52,더 보이 2: 돌아온 브람스 ,22973,20204681
53,젠틀맨,71305,20193526
54,울프 콜,13914,20190864
55,클로젯,1265776,20182447
56,조조 래빗,105411,20197390
57,수퍼 소닉,113356,20184891
58,남산의 부장들,4748005,20180939
59,"하이, 젝시",21718,20193911
60,버즈 오브 프레이(할리 퀸의 황홀한 해방),399872,20198431
61,히트맨,2400805,20192101
62,극장판 미니특공대: 공룡왕 디노 ,71671,20192984
63,인셉션,5928845,20100312
64,스파이 지니어스 ,446274,20192300
65,타오르는 여인의 초상,127125,20198676
66,페인 앤 글로리,19008,20191109
67,미스터 주: 사라진 VIP,587819,20188421
68,해치지않아,1217492,20183002
69,닥터 두리틀,1604127,20199581
70,나쁜 녀석들: 포에버,543095,20196670
71,나이브스 아웃,795200,20198430
